Company Name,TIN Number,Partners Name,Date Delivered,Account Executive,Remarks,,
2 WS BUILDING ADMINISTRATION INC,006-997-801-000,Micro Pacific,11/15/13,BAA,First Oceanic Group of Companies - Hard to collect due to long processing,,
8UM BUILDING ADMINISTRATION INC,007-301-224-000,Micro Pacific,10/11/13,BAA,First Oceanic Group of Companies - Hard to collect due to long processing,,
AAI LOGISTICS CARGO EXPRESS INC.,009-228-614,MicroPhase,11/30/20,ENG'G,No Funds (P38K only). Requesting to pay in kind or services,,
ABC 5,000-430-214,Micro Image,9/16/04,ACC,,,
ABOITIZ LOGISTICS,000-311-023-VAT,Micro Pacific,10/25/04,DRA,,,
ABS-CBN PUBLISHING,NOT IN FILE,Micro Image,12/12/01,MPS,,,
ACA VIDEO AND LASER TECH,NOT IN FILE,Micro Image,11/22/01,RMR,,,
ACTIMED INC,006-889-938-000,Micro Pacific,2/8/21,SBE,Very hard to follow up & collect.,,
AD SYSTEMS/SYSTEMAT,NOT IN FILE,Micro Image,9/28/99,SMD,,,
ADRIAN COMPUTERS,NOT IN FILE,Micro Image,2/7/02,ENGR,,,
AEIGHT PACIFIC CORPORATION,007-154-326,MicroPhase,11/17/12,Maricel,"Amount is only P25,000 and until now they are waiting for funds. Definitely hard to collect.",,
AEONPRIME LAND DEVELOPMENT CORP,426-886-661-000,Micro Pacific,10/29/21,WTT,Very hard to follow up & collect / long processing of payment,,
AGRARIAN REFORM,NOT IN FILE,MicroPhase,10/30/01,ENGR,,,
AGUILA GROUP,005-120-729-000,MicroPhase,01/31/09,BEL,"AMOUNT IS ONLY P2,000. REQUESTED TO RE-SCHEDULE DEPOSIT OF THEIR PDC 1 MONTH LATER BUT STILL BOUNCED ON REQUESTED DATE.  WILL REPLACE W/ CASH TODAY 02/03/09",,
AIR FREIGHT,NOT IN FILE,Micro Image,9/3/03,MCG,Paid but hard to collect,,
AIR PHILIPPINES,004-510-299-000,Micro Pacific,7/26/06,JCB,Paid but hard to follow up payment with problem on funding-always for schedule releasing,,
ALEX DIOMAMPO (Akem),NOT IN FILE,Micro Image,7/26/01,Eden,,,
ALPHA FORCE SECURITY AGENCY INC,006-739-617-000,Micro Pacific,9/20/13,JRC,Group of Companies - Hard to collect due to funding of payment schedule,,
ALPHALAND BALESIN ISLAND RESORT CORP,006-739-617-000,Micro Pacific,11/15/13,JRC,Group of Companies - Hard to collect due to funding of payment schedule,,
ALPHALAND DEVELOPMENT INC,006-739-617-000,Micro Pacific,11/21/13,JRC,Group of Companies - Hard to collect due to funding of payment schedule,,
ALPHALAND MARINA CORPORATION,006-739-617-000,Micro Pacific,9/20/13,JRC,Group of Companies - Hard to collect due to funding of payment schedule,,
ALUMINATES PHILS.,NOT IN FILE,Micro Image,5/3/01,RMP,,,
AMA COMPUTER,NOT IN FILE,Micro Pacific,11/1/99,KRB,,,
A-NETWORKING,178-664-390-000,Micro Image,6/30/04,AMR,Charge to A/E - relative,,
APEIRON,007-600-070-000,Micro Image,11/21/11,JSB,ROLANDO GO WAS SWINDLED BY HIS PARTNER ROBERT G. ANG…..APEIRON IS SERVICE PARTNER OF HP,,
"APEX NET, INC./ KMC MAG SOLUTIONS INC.",010-318-998-000,Micro Image,8/5/19,EPS,Group of Companies - Hard to collect even if amount is too small ; dependent on their clients payment,,
AQUA BORACAY HOTEL AND RESORT INCORPORATED,007-081-564-000,Micro Pacific,2/28/20,ACO,Hard to collect / AE has already coordinated this issue with the right contact person but to no avail.,,
AQUA TREATMENT,NOT IN FILE,Micro Pacific,6/22/01,JLC,,,
ARANETA GROUP/ACI INC,000-396-225-000,Micro Pacific,3/10/20,SDB,"Hard to collect, contact and has a long procedure with regards to payment.",,
ARANETA HOTELS INC,006-875-885-000,Micro Pacific,5/3/21,SBE,Hard to collect / once a month collection due to skeletal schedule ( GCQ),,
ARCH HAUS DESIGN AND PRODUCTION CO.,008-793-017-000,MicroPhase,8/31/16,DLG,"HARD TO COLLECT; RELEASED ON 08/31 ONLY 20% OF THE TOTAL OVERDUE, BALANCE IS STILL FOR FOLLOW UP FOR THIS MONTH",,
ARMAND CAJAYON,NOT IN FILE,MicroPhase,9/24/01,ONIN,,,
ASIA POS MAXX,NOT IN FILE,Micro Pacific,1/3/02,EDJ,,,
ASIA TYPE,000-154-774-000,Micro Image,12/19/06,KCS,"105 days already and yet still hard to collect (P25,900)",,
ASIAN TERMINAL,000-132-413-000,Micro Image,10/1/04,JMD,Paid but hard to collect,,
ASSI,NOT IN FILE,MicroPhase,8/10/01,ENGR,,,
ASSURANT BPO SOLUTIONS INC,008-178-985-000,Micro Pacific,11/27/12,APC,"Hard to collect - 30days term  120days due. Issued PDC's check until April 30,2013 ",,
ASTECH PHILS.,225-061-418-000,Micro Image,9/30/04,NRB,Paid but more than 60 days terms,,
ATLANTIC GULF AND PACIFIC CO OF MLA,000-155-905-000,Micro Pacific,7/7/18,CMZ,Hard to collect /No problem with docs but always fall over 60days of payment,,
